selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,brand,date,rotational_speed
450000,145500,Diesel,Individual,Manual,1.0,23.4,1248.0,74.0,190.0,5.0,Maruti,7,2000.0
370000,120000,Diesel,Individual,Manual,2.0,21.14,1498.0,103.52,250.0,5.0,Skoda,7,2000.0
158000,140000,Petrol,Individual,Manual,3.0,17.7,1497.0,78.0,124.5,5.0,Honda,15,2700.0
225000,127000,Diesel,Individual,Manual,1.0,23.0,1396.0,90.0,219.7,5.0,Hyundai,11,2250.0
130000,120000,Petrol,Individual,Manual,1.0,16.1,1298.0,88.2,112.8,5.0,Maruti,14,4500.0
440000,45000,Petrol,Individual,Manual,1.0,20.14,1197.0,81.86,113.75,5.0,Hyundai,4,4000.0
96000,175000,LPG,Individual,Manual,1.0,17.3,1061.0,57.5,76.5,5.0,Maruti,14,4500.0
45000,5000,Petrol,Individual,Manual,2.0,16.1,796.0,37.0,59.0,4.0,Maruti,20,2500.0
350000,90000,Diesel,Individual,Manual,1.0,23.59,1364.0,67.1,170.0,5.0,Toyota,10,2100.0
200000,169000,Diesel,Individual,Manual,1.0,20.0,1399.0,68.1,160.0,5.0,Ford,8,2000.0
500000,68000,Diesel,Individual,Manual,2.0,19.01,1461.0,108.45,248.0,5.0,Renault,7,2250.0
92000,100000,Petrol,Individual,Manual,2.0,17.3,993.0,60.0,78.0,5.0,Maruti,16,4500.0
280000,140000,Diesel,Individual,Manual,2.0,19.3,1248.0,73.9,190.0,5.0,Maruti,12,2000.0
200000,80000,Petrol,Individual,Manual,2.0,19.7,1248.0,74.0,190.0,5.0,Maruti,14,3500.0
180000,90000,Petrol,Individual,Manual,2.0,18.9,1061.0,67.0,84.0,5.0,Maruti,12,3500.0
400000,40000,Petrol,Individual,Manual,1.0,18.15,1198.0,82.0,115.0,5.0,Mahindra,5,3550.0
778000,70000,Diesel,Individual,Manual,2.0,24.52,1248.0,88.5,200.0,7.0,Maruti,5,1750.0
500000,53000,Diesel,Individual,Manual,2.0,23.0,1396.0,90.0,219.7,5.0,Hyundai,9,2250.0
150000,80000,Petrol,Individual,Manual,2.0,19.7,796.0,46.3,62.0,5.0,Maruti,19,3000.0
680000,100000,Diesel,Individual,Manual,1.0,22.54,1396.0,88.73,219.7,5.0,Hyundai,5,2125.0
174000,100000,Diesel,Individual,Manual,2.0,21.0,1461.0,64.1,160.0,5.0,Mahindra,10,2000.0
950000,50000,Diesel,Individual,Manual,1.0,25.5,1498.0,98.6,200.0,5.0,Honda,4,1750.0
525000,40000,Diesel,Individual,Manual,1.0,26.59,1248.0,74.0,190.0,5.0,Maruti,6,2000.0
600000,72000,Diesel,Individual,Manual,1.0,21.5,1248.0,88.8,200.0,5.0,Maruti,9,1750.0
500000,35000,Petrol,Individual,Manual,1.0,20.3,1199.0,83.81,114.0,5.0,Tata,3,3500.0
575000,45000,Petrol,Individual,Manual,1.0,21.4,1197.0,83.1,115.0,5.0,Maruti,5,4000.0
275000,28000,Petrol,Individual,Manual,1.0,24.7,796.0,47.3,69.0,5.0,Maruti,4,3500.0
300000,70000,Diesel,Individual,Manual,1.0,18.2,1248.0,73.8,172.5,7.0,Chevrolet,8,1750.0
220000,120000,Petrol,Individual,Manual,1.0,18.9,1061.0,67.0,84.0,5.0,Maruti,12,3500.0
254999,25000,Petrol,Individual,Manual,1.0,16.8,796.0,34.2,59.0,8.0,Maruti,3,2500.0
670000,70000,Diesel,Individual,Manual,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,4,1750.0
70000,50000,Petrol,Individual,Manual,2.0,19.7,1248.0,74.0,190.0,5.0,Fiat,18,3500.0
150000,35000,Petrol,Individual,Manual,2.0,14.0,796.0,35.0,59.8,5.0,Maruti,9,3000.0
730000,2388,Petrol,Individual,Manual,1.0,18.6,1197.0,81.83,114.7,5.0,Hyundai,3,4000.0
650000,16200,Diesel,Individual,Manual,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,4,1750.0
330000,10000,CNG,Individual,Manual,2.0,33.44,796.0,40.3,60.0,4.0,Maruti,2,3500.0
366000,15000,Petrol,Individual,Manual,1.0,23.95,998.0,67.1,90.0,5.0,Maruti,2,3500.0
1149000,5000,Petrol,Individual,Manual,1.0,17.0,1591.0,121.3,151.0,5.0,Hyundai,2,4850.0
150000,42000,Petrol,Individual,Manual,1.0,20.63,1198.0,67.0,104.0,5.0,Datsun,5,4000.0
425000,60000,Diesel,Individual,Manual,2.0,13.93,2179.0,138.03,320.0,7.0,Tata,10,2200.0
150000,76000,Petrol,Individual,Manual,1.0,16.1,796.0,37.0,59.0,4.0,Maruti,9,2500.0
2100000,5000,Petrol,Individual,Automatic,1.0,16.0,1368.0,160.77,250.0,5.0,Jeep,2,2125.0
925000,28900,Petrol,Dealer,Manual,1.0,17.8,1497.0,117.3,145.0,5.0,Honda,3,4600.0
425000,86300,Petrol,Dealer,Manual,1.0,16.8,1497.0,116.3,146.0,5.0,Honda,8,4800.0
675000,23300,Petrol,Dealer,Automatic,1.0,18.5,1197.0,83.14,115.0,5.0,Maruti,3,4000.0
819999,32600,Diesel,Dealer,Manual,1.0,24.3,1248.0,88.5,200.0,5.0,Maruti,3,1750.0
390000,10300,Petrol,Dealer,Manual,1.0,23.95,998.0,67.05,90.0,5.0,Maruti,3,3500.0
1500000,77000,Diesel,Dealer,Manual,1.0,12.55,2982.0,168.5,343.0,7.0,Toyota,7,2400.0
700000,99000,Diesel,Dealer,Manual,1.0,12.99,2494.0,100.0,200.0,7.0,Toyota,8,2400.0
1450000,27800,Diesel,Dealer,Automatic,2.0,14.8,2143.0,120.7,200.0,5.0,Mercedes-Benz,7,2625.0
425000,49800,Diesel,Dealer,Manual,1.0,24.7,1498.0,98.63,200.0,5.0,Honda,6,1750.0
